order,mode,episodes,success_rate,tokens_mean,tokens_std,tokens_min,tokens_max,turns_mean,turns_std,timesteps_mean,timesteps_std,nonzero_calls_mean,avg_tokens_per_call_mean,median_tokens_per_call_mean,model,tokens_ci_low,tokens_ci_high,turns_ci_low,turns_ci_high,timesteps_ci_low,timesteps_ci_high
boiled_egg,Always Talk,15,1.0,33082.4,9521.708541163038,21597,51493,217.4,63.67865755943219,14.333333333333334,0.4879500364742666,217.0,152.91674475021182,145.83333333333334,gpt-3.5-turbo-0125,28263.750635304263,37901.04936469574,185.1741529824273,249.6258470175727,14.086396544300639,14.580270122366029
boiled_egg,Free-form,15,1.0,30800.0,14018.109613740975,13612,60780,201.0,90.22749026765624,16.933333333333334,8.057531230085896,200.06666666666666,153.84186761240042,148.1,gpt-3.5-turbo-0125,23705.857736301026,37894.142263698974,155.33858988890802,246.66141011109198,12.855659922619273,21.011006744047393
boiled_egg,Pruning Only,15,1.0,23632.533333333333,14368.996166681067,4470,59637,160.0,101.11167800294598,14.333333333333334,0.4879500364742668,159.6,151.08907392813947,145.23333333333332,gpt-3.5-turbo-0125,16360.817973577534,30904.248693089132,108.83043091836711,211.1695690816329,14.086396544300639,14.580270122366029
boiled_egg,Reduced,15,1.0,1195.7333333333333,198.60746161593175,837,1680,8.933333333333334,2.313521331732421,14.333333333333334,0.4879500364742665,7.6,158.16917989417988,153.36666666666667,gpt-3.5-turbo-0125,1095.2240902072517,1296.242576459415,7.762530000384352,10.104136666282315,14.086396544300639,14.580270122366029
boiled_mushroom,Free-form,15,1.0,32344.533333333333,10789.920699209893,15758,50690,219.53333333333333,75.40165464901631,14.2,0.4140393356054125,218.66666666666666,148.23994039164262,143.5,gpt-3.5-turbo-0125,26884.080065141356,37804.98660152531,181.37483124300257,257.6918354236641,13.990467186340659,14.40953281365934
boiled_mushroom,Reduced,15,1.0,1243.0666666666666,150.79809901542748,943,1523,9.266666666666667,2.5764501233470907,14.333333333333334,0.4879500364742667,7.933333333333334,157.88796296296294,152.76666666666668,gpt-3.5-turbo-0125,1166.7522992528056,1319.3810340805276,7.962803006445844,10.570530326887491,14.086396544300639,14.580270122366029
taro_bean_and_bell_pepper_patty,Free-form,10,1.0,17734.8,9050.783118971898,10102,37558,106.0,55.10192575783738,58.0,0.6666666666666675,105.1,169.71553630683925,163.1,gpt-3.5-turbo-0125,12125.06650422583,23344.53349577417,71.84747258417192,140.15252741582808,57.58679571907133,58.41320428092867
taro_bean_and_bell_pepper_patty,Reduced,10,1.0,1488.2,430.59514369971447,800,2245,7.8,2.573367875415838,58.1,0.9944289260117535,7.6,198.5543253968254,181.1,gpt-3.5-turbo-0125,1221.3143649142744,1755.0856350857257,6.2050100662107965,9.394989933789203,57.48364656603897,58.71635343396103
zucchini_green_pea_and_onion_patty,Free-form,5,1.0,19866.8,3948.414833828888,14920,24442,125.0,27.504545078950134,58.4,0.547722557505166,124.2,160.65198346005133,153.2,gpt-3.5-turbo-0125,16405.861803050506,23327.738196949493,100.89120326519799,149.108796734802,57.919900010414494,58.8800999895855
zucchini_green_pea_and_onion_patty,Reduced,10,1.0,1218.7,661.4815106175598,323,2071,5.6,3.3065591380365986,57.7,0.6749485577105527,5.6,222.00138888888887,221.45,gpt-3.5-turbo-0125,808.7095120864931,1628.690487913507,3.550573413529205,7.649426586470794,57.28166254982106,58.11833745017895
