order,mode_key,mode,file,tokens,turns,success,timesteps,nonzero_calls,zero_token_calls,avg_tokens_per_call,median_tokens_per_call,max_tokens_per_call,model
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-01-38_boiled_egg.json,8160,37,1,14,34,3,240.0,127.0,1808.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-06-20_boiled_egg.json,9974,58,1,15,57,1,174.98245614035088,150.0,1673.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-17-32_boiled_egg.json,10382,33,1,14,31,2,334.9032258064516,151.0,1808.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-36-04_boiled_egg.json,43177,197,1,15,196,1,220.2908163265306,154.0,3374.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-53-54_boiled_egg.json,12434,54,1,15,53,1,234.60377358490567,141.0,3798.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_22-58-20_boiled_egg.json,9468,21,1,14,18,3,526.0,149.5,3622.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_23-03-21_boiled_egg.json,13857,33,1,15,28,5,494.89285714285717,157.5,3742.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_23-09-06_boiled_egg.json,9378,36,1,15,35,1,267.9428571428571,150.0,3481.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_23-12-36_boiled_egg.json,16845,102,1,14,102,0,165.14705882352942,121.5,2153.0,qwen2.5-3b
boiled_egg,baseline,Free-form,experiment_2025-12-08_23-19-27_boiled_egg.json,12804,39,1,15,35,4,365.8285714285714,141.0,3767.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-07-41_boiled_egg.json,514,3,1,14,3,0,171.33333333333334,179.0,181.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-08-37_boiled_egg.json,1621,8,1,14,8,0,202.625,160.0,447.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-09-21_boiled_egg.json,1226,5,1,14,5,0,245.2,252.0,343.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-10-44_boiled_egg.json,544,3,1,14,3,0,181.33333333333334,149.0,291.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-12-04_boiled_egg.json,888,9,1,15,5,4,177.6,156.0,240.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-14-00_boiled_egg.json,76,1,1,15,1,0,76.0,76.0,76.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-16-18_boiled_egg.json,328,2,1,14,2,0,164.0,164.0,173.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-17-01_boiled_egg.json,1319,11,1,15,7,4,188.42857142857142,156.0,335.0,qwen2.5-3b
boiled_egg,reduced,Reduced,experiment_2025-12-09_19-18-18_boiled_egg.json,790,3,1,14,3,0,263.3333333333333,270.0,293.0,qwen2.5-3b
